Idx,Sensor_008,Sensor_035,Sensor_038,Sensor_048,Sensor_050
201411,20.75,25,18,17,24
201411,38.25,38,36,42,53
201411,35.75,42,33,45,42
201411,26.5,31,17,28,23
201411,20,26,21,28,23
201411,19.75,19,15,23,20
201411,19.75,15,11,18,20
201411,18.25,16,16,25,26
201411,20.25,20,19,31,29
201411,21.25,23,23,34,29
201411,21.75,26,27,31,29
201411,24.75,24,28,33,35
201411,30.75,24,30,35,41
201411,32.75,23,31,42,43
201411,38.25,32,37,49,42
201411,36.75,42,31,50,35
201411,36.25,36,36,47,44
201411,38,36,40,49,50
201411,43.25,37,48,49,56
201411,44.5,41,52,51,60
201411,47.5,48,52,58,58
201411,42.5,39,38,48,48
201411,27.25,20,26,33,30
201411,21.75,16,18,22,25
201412,12.75,10,9,14,14
201412,8.25,9,6,11,9
201412,5.25,8,6,8,6
201412,6,12,6,8,6
201412,7.75,8,7,10,8
201412,8.25,12,7,12,9
201412,19.5,17,11,24,23
201412,40,31,32,44,46
201412,56.75,56,53,64,73
201412,59,64,65,74,72
201412,61.5,73,67,76,71
201412,61.25,59,65,74,72
201412,54,57,55,66,68
201412,55.25,53,50,65,73
201412,44,36,38,55,57
201412,34.5,30,33,49,46
201412,37.25,36,39,52,49
201412,41.5,36,43,60,55
201412,44.75,35,43,62,61
201412,46.5,41,46,62,62
201412,39.75,33,38,55,51
201412,30.75,26,28,47,42
201412,23.75,22,18,31,25
201412,16.75,17,11,25,18
201413,14.5,13,11,18,17
201413,13,14,10,18,17
201413,8,10,6,11,10
201413,6,9,5,8,5
201413,6.75,7,5,9,7
201413,6.75,12,5,9,5
201413,14.25,13,9,17,12
201413,28.5,21,21,40,32
201413,37,33,32,49,39
201413,36,35,31,44,36
201413,34.25,37,30,46,35
201413,36,32,32,45,43
201413,40.75,32,31,48,55
201413,41.25,40,39,55,59
201413,46.5,44,41,53,63
201413,42.5,44,35,54,55
201413,49.25,47,39,62,60
201413,60.5,55,58,66,77
201413,67.5,59,59,67,79
201413,71,66,69,74,88
201413,73,65,68,72,89
201413,60,59,65,68,69
201413,46.5,46,50,56,58
201413,37.75,39,37,47,44
201414,24.75,31,25,37,35
201414,20.75,19,14,26,25
201414,14.75,16,10,19,15
201414,9.75,12,7,16,10
201414,7.25,9,5,9,6
201414,6.25,8,5,10,5
201414,8.5,8,5,12,9
201414,9.5,10,6,14,8
201414,13.25,17,11,19,16
201414,24.25,22,20,25,29
201414,21.5,18,18,25,27
201414,21,17,17,25,28
201414,23.25,19,21,38,30
201414,23.75,22,20,35,31
201414,22.25,20,19,29,26
201414,21,25,16,25,25
201414,24,27,16,26,27
201414,27,37,21,31,31
201414,34.5,43,24,33,40
201414,34.75,53,32,33,35
201414,44.5,55,36,48,62
201414,43,51,33,45,55
201414,35,40,25,31,41
201414,23,20,15,25,27
201415,22.5,21,17,25,23
201415,20.5,22,16,26,19
201415,17.25,19,15,29,21
201415,15.25,18,12,24,17
201415,13,10,8,16,12
201415,13.75,15,10,18,16
201415,16.5,11,10,16,19
201415,14,15,12,22,14
201415,15,14,14,21,13
201415,16.5,26,14,21,15
201415,21.5,29,22,37,27
201415,30.75,30,30,41,41
201415,31.5,22,25,37,43
201415,29,20,28,36,38
201415,29.75,24,27,36,41
201415,26,27,20,36,34
201415,25,26,28,34,31
201415,34.75,29,36,44,42
201415,36,32,43,42,42
201415,42.5,32,42,50,53
201415,53,42,48,56,56
201415,48.75,43,38,50,48
201415,46.75,44,44,54,53
201415,39.5,36,32,43,46
201416,28.25,42,36,46,45
201416,29,40,33,41,43
201416,32,42,38,46,43
201416,30.75,39,38,44,41
201416,22.75,30,24,28,27
201416,21.5,24,23,26,26
201416,25.25,28,23,34,29
201416,26,29,24,38,31
201416,32.25,30,35,46,30
201416,30,32,28,47,28
201416,30.5,26,29,32,39
201416,27.75,28,28,32,36
201416,27.5,19,23,28,33
201416,27.5,17,29,30,38
201416,33.5,20,37,38,49
201416,25.75,20,26,32,36
201416,31,19,35,37,45
201416,51.25,33,54,55,72
201416,66,50,69,68,77
201416,70.5,74,78,74,75
201416,71,75,78,84,82
201416,81.5,69,66,81,102
201416,65.25,51,65,68,71
201416,53.25,52,50,45,53
201417,47.75,40,41,36,39
201417,30.75,26,29,25,26
201417,30.25,53,23,30,22
201417,30.5,50,28,49,36
201417,40.25,46,43,41,42
201417,41.5,42,31,40,32
201417,46.25,35,45,51,44
201417,57,53,64,65,62
201417,67.25,60,78,69,64
201417,65.75,69,86,74,64
201417,55,69,72,63,57
201417,46.75,63,65,55,47
201417,38.25,36,48,51,49
201417,32.5,30,32,40,38
201417,31.25,33,41,41,40
201417,34.25,39,42,40,42
201417,45,37,56,50,52
201417,46.25,49,59,51,48
201417,63.25,51,74,71,59
201417,68.75,52,86,66,75
201417,72.5,79,95,72,81
201417,70.25,75,76,70,64
201417,66,73,73,61,64
201417,56.25,60,67,53,60
201418,44.5,53,47,40,43
201418,37.5,48,40,31,29
201418,37.5,48,34,35,31
201418,35.5,44,31,35,39
201418,31.75,42,33,32,34
201418,33.75,44,34,26,39
201418,39,44,36,36,36
201418,56.25,59,55,53,52
201418,72.5,75,87,74,74
201418,82.5,88,99,88,77
201418,62,99,100,92,74
201418,55.5,98,92,82,74
201418,65.25,93,91,57,53
201418,53,75,69,51,37
201418,47.75,69,80,52,41
201418,58.5,75,82,65,56
201418,70.25,86,90,75,68
201418,82.25,98,112,82,71
201418,84.25,97,121,91,89
201418,94.75,105,130,100,113
201418,85.25,88,127,85,92
201418,74.75,80,96,72,72
201418,67.75,76,78,64,73
201418,54.75,70,62,55,55
201419,45,65,53,41,51
201419,39.25,55,46,30,50
201419,34.5,42,37,29,45
201419,27.75,36,25,24,32
201419,25.75,40,28,21,30
201419,29.5,43,33,21,30
201419,41,58,51,35,40
201419,63,59,92,57,62
201419,81.5,81,100,74,78
201419,81.5,90,111,73,81
201419,65,82,97,61,60
201419,59.5,88,86,56,55
201419,58.75,84,76,57,55
201419,60.5,85,74,66,53
201419,60,81,88,73,57
201419,68,91,110,91,70
201419,87.25,103,107,100,83
201419,100,102,118,98,88
201419,110.25,113,172,112,111
201419,107.5,114,206,119,123
201419,100.25,128,221,129,106
201419,95.5,121,179,105,115
201419,79,103,105,79,84
201419,61.25,74,83,61,62
2014110,52.25,67,65,46,48
2014110,39.75,60,61,34,42
2014110,30.75,57,59,26,33
2014110,25.25,50,54,24,32
2014110,23.75,50,44,17,29
2014110,24.5,40,35,16,25
2014110,37,47,38,27,34
2014110,58.5,51,68,51,53
2014110,77,80,106,74,70
2014110,81.5,97,114,76,74
2014110,61.5,104,87,55,51
2014110,55.5,76,70,55,44
2014110,58,78,76,51,48
2014110,65,90,82,67,71
2014110,60,75,93,58,72
2014110,61,65,68,54,59
2014110,66,76,84,56,65
2014110,83.75,77,93,75,81
2014110,104.75,96,131,92,106
2014110,117.75,124,147,111,144
2014110,115,129,144,113,120
2014110,104.75,119,132,122,105
2014110,89.25,91,88,85,93
2014110,67,73,72,69,77
2014111,41.5,47,53,48,42
2014111,38.5,41,45,43,41
2014111,41.25,44,39,47,36
2014111,45.5,42,46,44,48
2014111,43.25,50,60,41,33
2014111,37.25,53,59,38,33
2014111,46.25,47,57,50,46
2014111,56,50,57,59,57
2014111,59.75,53,75,61,73
2014111,62.75,55,77,62,66
2014111,76,55,64,66,80
2014111,61,59,68,71,82
2014111,64.75,68,73,87,65
2014111,61.5,62,78,85,74
2014111,56.5,65,86,78,67
2014111,48.5,62,84,73,58
2014111,50,58,75,73,53
2014111,68,63,73,81,89
2014111,83.5,78,87,87,108
2014111,90.75,81,93,87,105
2014111,85.5,67,75,70,86
2014111,78,62,84,72,71
2014111,80.5,68,92,70,85
2014111,77.25,65,67,60,74
2014112,78.25,81,80,69,72
2014112,73.5,92,69,85,71
2014112,75,70,91,87,90
2014112,66,58,84,77,83
2014112,53,47,69,63,47
2014112,46.25,47,58,55,42
2014112,47,45,57,54,43
2014112,48,45,52,55,50
2014112,47.25,44,51,52,50
2014112,42,46,53,47,41
2014112,42.5,48,55,49,43
2014112,42.75,48,63,53,45
2014112,45.25,46,62,56,47
2014112,52.25,51,60,59,60
2014112,53.75,55,63,62,65
2014112,56,57,60,65,64
2014112,59.25,55,60,61,58
2014112,65,65,65,69,64
2014112,70.75,62,77,70,80
2014112,72.25,69,77,77,76
2014112,70.75,66,71,69,80
2014112,65.75,63,74,67,80
2014112,62.75,68,69,64,74
2014112,54.5,57,63,61,60
2014113,45.25,45,53,49,51
2014113,35.25,40,41,39,36
2014113,30,36,35,40,35
2014113,29.75,36,27,34,25
2014113,27.25,28,28,28,26
2014113,22,24,18,17,20
2014113,31.75,27,29,30,40
2014113,53,32,44,46,68
2014113,65.25,42,59,51,86
2014113,73.75,61,73,69,87
2014113,69.25,66,64,70,82
2014113,53,49,51,54,65
2014113,41.5,37,40,47,54
2014113,38.75,39,35,39,54
2014113,32.25,34,30,33,47
2014113,32.25,40,33,34,43
2014113,38.75,39,38,42,49
2014113,41,52,49,48,53
2014113,70.5,64,77,71,87
2014113,84,61,84,81,107
2014113,80.75,64,76,80,91
2014113,54.75,45,60,59,57
2014113,35,30,32,41,34
2014113,21.25,18,19,24,22
2014114,15.75,12,13,17,12
2014114,11.25,12,9,14,13
2014114,7.5,11,6,8,7
2014114,6.75,7,6,9,6
2014114,5.75,6,5,8,5
2014114,6.75,8,5,8,7
2014114,18.25,11,10,16,21
2014114,20.5,23,31,42,43
2014114,29.5,31,42,58,63
2014114,31,33,38,57,65
2014114,23,32,34,51,49
2014114,20.5,32,34,48,46
2014114,18.25,23,29,42,39
2014114,20,25,31,39,43
2014114,24.5,24,33,41,42
2014114,41,30,33,37,48
2014114,47.25,35,48,57,56
2014114,53.25,31,48,64,64
2014114,60.5,44,42,58,58
2014114,58.75,54,54,65,66
2014114,61.25,58,65,75,73
2014114,46.75,43,38,46,46
2014114,31.25,35,26,30,34
2014114,29,31,21,23,28
2014115,27.5,30,23,31,29
2014115,20,18,12,20,16
2014115,16.75,17,11,17,16
2014115,21.75,18,12,20,21
2014115,22.5,16,11,20,14
2014115,29.5,17,17,22,19
2014115,46.75,47,38,51,45
2014115,80.75,57,78,78,92
2014115,91,72,75,85,103
2014115,83.5,68,71,72,85
2014115,69.5,55,52,62,66
2014115,59,34,53,53,70
2014115,58.75,45,47,58,65
2014115,55.25,35,49,51,68
2014115,53.25,32,43,50,69
2014115,48.75,30,41,45,61
2014115,54,37,44,56,63
2014115,52,36,49,53,53
2014115,58.75,49,52,71,69
2014115,61,53,58,73,69
2014115,54.75,49,50,61,67
2014115,44.5,31,45,50,53
2014115,44,33,36,42,50
2014115,38,39,31,43,39
2014116,30.25,37,36,37,36
2014116,23.5,34,34,31,29
2014116,20.75,29,26,30,25
2014116,14.5,16,12,18,13
2014116,16.25,12,8,14,10
2014116,19.5,12,10,14,13
2014116,28.25,18,17,24,31
2014116,58.75,40,55,52,82
2014116,72.75,54,70,78,90
2014116,70.5,41,60,62,82
2014116,48.75,43,44,51,55
2014116,43,27,41,44,51
2014116,39.25,26,34,45,56
2014116,35.25,25,31,45,47
2014116,35,23,32,42,50
2014116,31,21,27,39,42
2014116,34,21,24,46,49
2014116,40.5,27,37,49,52
2014116,50.75,35,47,64,61
2014116,58.25,41,58,69,69
2014116,52.25,39,45,59,65
2014116,47.25,39,40,55,55
2014116,38.25,31,30,47,45
2014116,27.5,25,23,38,29
2014117,22,18,20,26,21
2014117,16.75,17,13,24,17
2014117,13,15,11,16,15
2014117,13,14,8,14,12
2014117,16.25,13,9,16,13
2014117,22.5,39,21,30,23
2014117,41.25,42,35,48,45
2014117,63.5,63,64,67,69
2014117,72.5,61,73,67,77
2014117,65.5,66,72,64,68
2014117,54.25,54,57,55,58
2014117,41.25,43,44,46,47
2014117,37,30,38,42,40
2014117,34.75,33,39,40,41
2014117,36,38,39,47,41
2014117,38,49,39,48,41
2014117,40.5,41,42,55,42
2014117,43.75,45,49,54,53
2014117,48.5,41,45,64,63
2014117,51.5,56,62,60,62
2014117,51,57,58,56,62
2014117,50.5,58,59,59,63
2014117,38.25,53,46,46,48
2014117,33.5,49,40,37,44
2014118,31.5,46,38,39,40
2014118,22,38,27,30,26
2014118,17,35,20,28,17
2014118,18.5,34,17,26,18
2014118,17.5,34,18,24,16
2014118,13,30,19,21,14
2014118,19.75,25,15,22,24
2014118,30.5,27,18,27,31
2014118,42,31,33,43,41
2014118,55.75,52,46,52,60
2014118,48.25,46,45,43,55
2014118,44,38,32,44,49
2014118,43.75,37,36,42,51
2014118,42.75,37,31,40,47
2014118,34.5,33,30,39,41
2014118,26.75,24,23,30,38
2014118,28.25,26,18,32,41
2014118,37.75,39,35,35,53
2014118,48.5,50,41,49,58
2014118,59,52,61,66,75
2014118,74.75,59,60,67,74
2014118,77,60,63,69,86
2014118,65,63,60,72,55
2014118,53.25,52,55,56,56
2014119,35.25,37,34,40,39
2014119,28.5,31,30,38,34
2014119,25.25,26,21,34,27
2014119,25.75,25,20,32,29
2014119,20.75,27,19,29,21
2014119,19.25,26,16,28,16
2014119,23.75,32,19,22,20
2014119,32.25,35,32,32,34
2014119,31.75,41,35,30,33
2014119,33.5,46,40,40,36
2014119,32.75,44,35,37,39
2014119,39,46,40,38,46
2014119,48.75,45,44,39,59
2014119,42,46,42,43,47
2014119,46.5,48,38,41,57
2014119,39.25,49,27,35,45
2014119,31.25,43,28,33,33
2014119,36.75,50,40,42,44
2014119,49.25,57,45,49,56
2014119,53.25,55,56,52,65
2014119,51.5,45,68,70,69
2014119,49.25,45,53,55,48
2014119,34,39,36,38,38
2014119,30.75,46,31,33,33
2014120,23.25,37,25,24,24
2014120,14.5,29,14,13,8
2014120,10.5,29,15,20,7
2014120,10,20,9,12,6
2014120,11.75,21,9,9,6
2014120,14,31,15,16,12
2014120,32.25,32,16,23,28
2014120,62.25,41,49,64,72
2014120,70.75,62,86,90,73
2014120,69.75,58,83,84,93
2014120,43.25,45,59,61,50
2014120,20.5,44,47,51,41
2014120,38.75,33,44,49,43
2014120,41.75,44,31,47,50
2014120,42.75,37,36,48,51
2014120,42.75,27,36,40,61
2014120,45.25,35,34,39,62
2014120,58.75,52,58,63,66
2014120,69.25,70,71,62,63
2014120,73.75,74,81,80,79
2014120,79.75,77,77,75,80
2014120,65.25,67,67,66,71
2014120,57,56,37,51,61
2014120,44.25,41,31,48,34
2014121,32,39,24,27,23
2014121,25.75,31,15,24,22
2014121,18.75,31,13,21,15
2014121,33.25,28,14,24,20
2014121,36.5,26,21,22,30
2014121,50.75,31,37,25,57
2014121,63.5,37,47,55,64
2014121,84.75,48,85,75,89
2014121,103.5,55,98,98,115
2014121,113,73,93,90,86
2014121,91.75,85,67,68,78
2014121,72,61,62,63,60
2014121,46.5,41,32,45,55
2014121,43,34,34,44,55
2014121,39,32,39,48,51
2014121,42.25,34,41,44,63
2014121,50,35,38,51,64
2014121,54.5,40,40,63,68
2014121,60.25,46,50,66,72
2014121,56,49,57,69,72
2014121,58,46,53,63,68
2014121,57,46,57,52,65
2014121,51,49,47,50,57
2014121,46.25,52,49,59,51
2014122,43.75,43,44,52,52
2014122,38.5,44,41,50,42
2014122,29.5,38,28,35,31
2014122,27.5,29,18,24,21
2014122,20.5,24,13,14,13
2014122,17.5,24,17,18,14
2014122,39.25,25,23,29,38
2014122,80.75,50,57,64,82
2014122,92,64,81,84,98
2014122,91.75,62,71,82,99
2014122,73.5,49,50,59,77
2014122,54.25,46,57,48,60
2014122,58,60,54,39,69
2014122,53.5,52,36,43,53
2014122,57.25,47,47,65,54
2014122,54,54,41,50,57
2014122,60.5,51,52,47,71
2014122,56.75,64,77,44,56
2014122,75,75,93,69,69
2014122,72,77,92,71,72
2014122,56,67,79,46,56
2014122,51,65,85,41,60
2014122,44,63,69,33,50
2014122,34.25,53,47,22,42
2014123,26.25,47,53,23,35
2014123,17.5,43,18,14,21
2014123,13,33,21,9,20
2014123,12,30,21,7,16
2014123,10.25,27,17,7,14
2014123,17.75,38,23,16,20
2014123,34.75,51,49,33,50
2014123,73,64,96,71,82
2014123,85.5,80,94,76,70
2014123,95.75,81,114,77,82
2014123,99.5,72,84,88,109
2014123,67,68,69,79,38
2014123,42.5,74,61,37,39
2014123,30.5,56,60,41,23
2014123,35,48,59,38,52
2014123,27.25,50,55,26,29
2014123,32.75,54,49,24,35
2014123,49,64,86,40,50
2014123,63,74,96,52,67
2014123,78.5,87,106,77,88
2014123,104,96,112,97,115
2014123,124.25,101,121,117,125
2014123,117,93,98,103,97
2014123,121.25,107,103,110,97
2014124,100.25,72,101,93,86
2014124,101.25,69,83,102,100
2014124,91.5,69,79,87,91
2014124,78,59,60,62,65
2014124,76.25,56,41,53,77
2014124,83.75,58,61,85,81
2014124,85.5,56,57,84,79
2014124,103.25,67,111,90,82
2014124,132.5,80,129,105,107
2014124,163,93,142,146,165
2014124,133.25,86,113,135,136
2014124,111.5,90,77,91,85
2014124,122.5,76,67,70,133
2014124,87,50,54,59,77
2014124,53,46,42,42,65
2014124,48,48,43,51,58
2014124,50,54,40,47,56
2014124,52.25,53,41,52,62
2014124,62.25,64,63,68,70
2014124,52.25,51,41,48,57
2014124,37.25,42,32,30,41
2014124,33.75,38,29,31,38
2014124,30.75,37,23,23,31
2014124,25.5,29,17,17,24
2014125,21.75,25,17,18,21
2014125,24.75,27,19,24,27
2014125,20.5,20,15,34,18
2014125,19,24,13,21,23
2014125,19.25,26,13,25,19
2014125,16.75,21,14,18,26
2014125,22,19,14,17,23
2014125,28.75,24,28,38,27
2014125,26,31,27,36,19
2014125,31,45,33,36,21
2014125,43,37,31,47,41
2014125,33.75,35,31,36,37
2014125,25,30,24,27,31
2014125,23.5,27,21,25,31
2014125,26.5,33,21,29,38
2014125,24.5,25,24,34,37
2014125,23.5,30,22,32,25
2014125,32,47,31,39,38
2014125,54,51,48,49,66
2014125,56.25,71,71,45,68
2014125,66.5,79,86,63,73
2014125,79.5,91,99,65,84
2014125,83.25,87,93,80,73
2014125,89.75,83,89,92,83
2014126,81.25,91,89,99,66
2014126,75.25,81,97,79,65
2014126,80.25,68,81,79,68
2014126,78,58,73,91,70
2014126,83.5,54,67,81,69
2014126,81,48,67,71,81
2014126,73,43,49,75,79
2014126,60.75,47,50,61,61
2014126,61,53,54,52,52
2014126,63.75,56,62,68,61
2014126,54.25,61,56,61,50
2014126,52.75,55,42,49,42
2014126,44.5,38,32,39,34
2014126,34.75,25,24,30,32
2014126,29.75,18,22,27,32
2014126,26.25,19,20,25,31
2014126,26.5,17,16,28,33
2014126,33.75,22,25,34,37
2014126,44.5,34,43,49,51
2014126,54,46,56,61,62
2014126,49,35,55,63,66
2014126,37,25,21,41,40
2014126,25.25,20,16,27,28
2014126,19,15,15,19,16
2014127,16.75,17,14,12,13
2014127,15.75,16,11,12,11
2014127,10,13,6,10,8
2014127,9.5,6,7,6,4
2014127,11.75,6,5,8,5
2014127,11.25,13,9,12,10
2014127,29.5,23,16,18,34
2014127,47.75,33,36,45,52
2014127,54.5,46,55,61,62
2014127,47.5,43,47,48,45
2014127,34.75,37,34,41,43
2014127,29.75,24,29,30,34
2014127,28.75,23,28,31,32
2014127,23.25,25,24,25,31
2014127,26.5,27,25,35,36
2014127,31.75,23,25,29,39
2014127,31.5,22,23,33,40
2014127,40.25,33,37,43,47
2014127,51.25,39,41,58,60
2014127,45.75,40,37,44,53
2014127,47.5,32,34,44,58
2014127,43,35,27,37,46
2014127,26.75,26,17,23,31
2014127,19.75,19,17,23,18
2014128,13.5,21,11,17,8
2014128,11.75,8,8,9,11
2014128,8.5,15,6,9,7
2014128,7.25,7,5,8,6
2014128,8,8,5,5,8
2014128,11,9,8,9,13
2014128,28.75,13,12,22,28
2014128,58.5,41,41,59,61
2014128,80,59,66,79,94
2014128,74,58,56,72,77
2014128,48,39,35,50,53
2014128,40.5,26,29,49,55
2014128,34.5,21,31,42,42
2014128,35,20,27,37,46
2014128,31.25,16,22,37,42
2014128,26.25,17,19,34,36
2014128,28,17,22,32,38
2014128,33,19,28,42,40
2014128,40,23,33,48,49
2014128,47.75,32,51,58,66
2014128,53.75,52,75,81,80
2014128,46.75,38,45,61,61
2014128,29,26,24,41,31
2014128,25.5,15,19,31,32
2014129,16,10,11,18,15
2014129,12,9,8,15,11
2014129,9,9,6,11,9
2014129,7.5,7,5,10,7
2014129,7.75,6,5,9,7
2014129,9,7,5,8,9
2014129,18.25,10,9,18,21
2014129,41.5,25,30,45,48
2014129,75.25,49,76,69,97
2014129,87.25,67,92,83,105
2014129,62.75,49,72,68,84
2014129,49,36,43,41,60
2014129,50,44,54,51,70
2014129,50.25,35,48,54,63
2014129,40,35,34,40,54
2014129,37.25,32,29,34,50
2014129,39.75,32,33,40,50
2014129,49,44,40,49,64
2014129,72,63,61,67,83
2014129,82.25,61,81,77,97
2014129,73.75,54,73,78,89
2014129,52.25,49,40,40,59
2014129,52.25,51,49,44,60
2014129,38,43,36,36,44
2014130,22.5,30,23,19,26
2014130,15.25,24,14,15,12
2014130,15,20,13,14,15
2014130,15.5,21,12,12,12
2014130,9,12,7,7,5
2014130,8.75,13,8,8,6
2014130,23,20,16,17,29
2014130,47.5,45,56,62,69
2014130,72.5,62,67,67,87
2014130,66.75,52,58,63,81
2014130,42,52,41,44,51
2014130,34.75,42,38,42,46
2014130,31.75,33,31,35,43
2014130,32.5,30,30,30,44
2014130,33.5,28,30,32,44
2014130,34.25,32,32,31,47
2014130,43,37,42,44,61
2014130,55,47,43,57,78
2014130,55.75,50,46,50,63
2014130,67.5,44,57,64,82
2014130,71.25,45,51,62,86
2014130,65,37,55,58,67
2014130,49.75,33,41,51,52
2014130,33.75,25,32,38,40
2014131,25,20,22,31,25
2014131,17.75,20,18,23,17
2014131,14.5,16,12,16,17
2014131,16,13,10,15,15
2014131,16.5,12,12,15,15
2014131,18.5,12,11,15,17
2014131,37.5,28,21,26,34
2014131,63,55,57,60,69
2014131,76.25,39,70,68,93
2014131,70.5,59,66,66,80
2014131,59.75,52,45,53,62
2014131,45.25,29,37,45,48
2014131,36.75,28,36,39,48
2014131,37,32,37,41,49
2014131,44.75,34,37,44,62
2014131,45.25,23,36,45,62
2014131,41.5,22,34,39,51
2014131,46,27,36,46,58
2014131,58.5,43,56,64,67
2014131,60.5,46,46,64,65
2014131,55.75,42,46,60,54
2014131,57.25,49,47,62,66
2014131,47.25,44,35,55,51
2014131,34.5,28,23,35,34
201421,26.5,22,19,32,29
201421,21,17,13,26,20
201421,15,13,12,17,12
201421,13,12,10,19,10
201421,12.25,10,9,14,10
201421,11.5,9,8,14,8
201421,13,9,9,13,12
201421,15.75,11,13,18,12
201421,22.75,24,16,20,16
201421,38.5,41,31,32,39
201421,34.25,27,19,27,42
201421,27.75,20,21,25,31
201421,27,23,20,25,29
201421,25.25,21,23,24,32
201421,25.75,22,23,24,29
201421,17,20,14,19,18
201421,19,23,17,20,22
201421,21.5,28,21,26,25
201421,28,33,20,26,32
201421,36.5,41,27,37,36
201421,38.5,47,28,35,39
201421,36.75,45,27,33,35
201421,34,41,25,33,29
201421,22,29,13,19,22
201422,18.75,24,19,23,16
201422,19.25,28,16,21,18
201422,19.5,25,17,22,20
201422,19,22,13,22,14
201422,17.75,18,16,16,11
201422,20,18,12,16,11
201422,22.25,28,13,14,18
201422,24,33,21,20,32
201422,30.5,37,27,16,39
201422,32.75,38,29,22,47
201422,33.5,35,40,31,28
201422,34.25,35,44,46,32
201422,36.75,30,39,42,46
201422,26.5,19,25,33,27
201422,23.5,20,25,26,23
201422,20.5,17,18,23,21
201422,18.25,17,18,24,20
201422,27.25,25,25,30,33
201422,38.5,32,36,47,47
201422,55,53,58,54,61
201422,64.25,63,68,64,67
201422,68.75,75,74,68,71
201422,72.75,81,81,73,76
201422,81.75,82,80,84,80
201423,66,71,78,74,70
201423,52,60,69,54,60
201423,50.5,58,57,55,50
201423,49.75,54,55,53,38
201423,48.75,52,37,41,32
201423,41.5,57,44,56,34
201423,43.25,53,54,56,53
201423,66.25,62,69,66,70
201423,75.75,67,76,75,79
201423,76.5,68,76,71,75
201423,63.5,65,70,66,63
201423,67.5,65,68,73,69
201423,66,44,67,74,76
201423,57.5,45,58,64,68
201423,58,35,58,58,73
201423,45,21,34,37,57
201423,43.5,20,39,45,56
201423,50.5,31,44,49,65
201423,70.75,37,69,65,94
201423,70.75,38,72,73,81
201423,71.25,53,64,72,88
201423,68.75,62,58,73,73
201423,68.25,73,61,76,72
201423,61.5,61,41,56,45
201424,43.75,50,43,50,40
201424,21.25,19,16,17,21
201424,14,14,10,14,12
201424,11.75,9,8,10,12
201424,9.5,5,6,8,11
201424,12.5,8,7,10,12
201424,22.25,15,13,21,24
201424,46.75,34,39,55,56
201424,70.5,39,56,71,87
201424,67.75,46,64,75,82
201424,60.75,38,57,67,71
201424,45.25,25,42,54,69
201424,40.5,24,37,50,60
201424,45,32,41,55,64
201424,43.75,34,44,60,62
201424,44.5,33,40,54,53
201424,46.5,35,45,58,60
201424,47.25,42,49,63,64
201424,48.25,41,51,65,63
201424,47,35,49,57,64
201424,43,44,47,58,61
201424,40.5,45,49,56,57
201424,36,37,41,47,48
201424,27.5,26,30,37,35
201425,19.25,20,19,32,26
201425,15.25,22,17,28,18
201425,14,17,16,23,16
201425,18.25,16,16,22,20
201425,11.25,8,7,12,10
201425,9,7,6,10,8
201425,16.25,10,9,17,17
201425,38,25,29,52,50
201425,48,35,49,63,57
201425,52,38,44,56,66
201425,38.5,27,26,45,46
201425,34.75,19,31,41,51
201425,32,20,28,44,56
201425,30,17,27,36,48
201425,29.25,15,25,37,44
201425,26,15,19,31,39
201425,30.75,16,29,38,50
201425,37,21,29,46,57
201425,48.25,31,46,62,73
201425,58.5,41,52,70,85
201425,55.25,41,52,68,76
201425,40.75,31,44,57,44
201425,44.75,32,37,59,62
201425,34.5,24,20,37,34
201426,31,32,25,36,34
201426,26,38,26,43,31
201426,24.75,28,18,32,22
201426,19.25,23,12,26,20
201426,21.75,23,12,26,19
201426,20,29,20,28,22
201426,39.25,49,37,44,32
201426,59.25,60,58,72,56
201426,64,62,60,74,65
201426,54.75,56,61,66,62
201426,37.25,43,47,37,47
201426,21,32,36,42,47
201426,31.25,33,36,43,46
201426,33.5,30,38,48,47
201426,27.5,18,25,34,41
201426,20,15,18,25,32
201426,23.75,20,24,34,37
201426,31.25,23,28,37,47
201426,33.25,24,35,41,50
201426,33.25,19,29,44,46
201426,34,23,29,50,43
201426,28.5,21,26,45,34
201426,22.75,17,17,30,29
201426,15.75,13,11,20,18
201427,11.5,9,10,15,11
201427,9.25,8,8,11,8
201427,10.25,7,8,11,9
201427,9,7,8,11,8
201427,8.25,6,8,9,6
201427,10.25,7,10,11,8
201427,26.25,15,17,19,36
201427,56.75,36,51,54,76
201427,80.5,48,84,77,110
201427,62,49,56,62,70
201427,40.5,31,34,44,51
201427,33,21,27,41,47
201427,30,21,28,34,43
201427,28.75,19,22,35,45
201427,27,16,24,36,45
201427,30.5,17,26,34,49
201427,31,21,26,39,43
201427,35.75,24,30,46,49
201427,40.25,29,36,52,55
201427,41.75,36,40,57,51
201427,44,36,37,58,53
201427,39.5,30,37,54,53
201427,35.5,39,31,42,41
201427,25.5,21,22,31,29
201428,19.75,16,16,24,26
201428,19.5,18,15,28,24
201428,17.25,18,17,26,21
201428,16.75,15,14,24,19
201428,14.75,16,13,24,18
201428,13.25,12,10,17,15
201428,14.5,15,11,20,16
201428,17.25,14,13,23,19
201428,16,15,15,21,20
201428,20.75,15,18,26,27
201428,29.25,21,26,37,37
201428,34,26,32,46,40
201428,30,26,26,42,35
201428,28.25,21,24,39,37
201428,27.25,20,24,35,40
201428,19.25,16,17,25,23
201428,20.75,14,19,28,25
